K_norm,tau,local_vol,vanna_proxy,volga_proxy,lv_gradient_K
0.8,0.05,0.0077944824594789,0.0007607096293101455,0.0028055869656083933,5.712098395359495e-05
0.8200000000000001,0.05,0.007793505989355258,0.0007588480312152398,0.00291139333911984,-0.00015465643473849442
0.8400000000000001,0.05,0.007788303327896195,0.0007533089226474876,0.0030246845071986625,-0.000365366231141375
0.86,0.05,0.007778903615291607,0.0007433440148210996,0.003146183641673196,-0.0005742360791767868
0.88,0.05,0.0077653510437118494,0.0007280624058381073,0.0032767020305936997,-0.0007805334765389658
0.9,0.05,0.007747704039862935,0.0007064017492264089,0.003417152039526593,-0.0009835677820412545
0.92,0.05,0.0077260344102816556,0.0006770930768638665,0.003568562308621916,-0.0011826919085520203
0.9400000000000001,0.05,0.0077004264560179125,0.0006386177491814009,0.003732095628358203,-0.0013773036948210992
0.96,0.05,0.0076709760629322275,0.0005891546044779285,0.003909070036038225,-0.0015668469749034431
0.98,0.05,0.007637789773503981,0.0005265148636241792,0.004100983799060709,-0.0017508123597821867
1.0,0.05,0.007600983845789489,0.0004480616810092178,0.004309545106568739,-0.00192873774238065
1.02,0.05,0.007560683304972719,0.0003506103701523982,0.004536707487183499,-0.0021002085345551676
1.04,0.05,0.007517020992798172,0.00023030420985454295,0.004784712218828243,-0.0022648576429331693
1.06,0.05,0.007470136620048115,8.245926922236608e-05,0.005056139312453952,-0.002422365189597907
1.08,0.05,0.007420175827108608,-9.863023730790382e-05,0.005353969055034772,-0.0025724579835694397
1.1,0.05,0.007367289257543602,-0.00031993709637999357,0.005681656615378251,-0.002714908749697808
1.12,0.05,0.007311631649452669,-0.0005900111452713746,0.006043222884943564,-0.00284953512284952
1.1400000000000001,0.05,0.007253360949213767,-0.000919373115418048,0.00644336559306343,-0.002976198416995559
1.16,0.05,0.007192637451999826,-0.0013210171697186379,0.006887595866546496,-0.0030948021808512288
1.18,0.05,0.007129622973203357,-0.0018110551174552372,0.007382406885453592,-0.0032052905539308317
1.2,0.05,0.007064480054603628,-0.0024095462221432754,0.007935483239600674,-0.0033076464391222026
0.8,0.1,0.008332193274198459,0.0010184047326181115,0.0028831798381835846,-1.226022597606625e-05
0.8200000000000001,0.1,0.008329708559408453,0.001034462641603637,0.002990659759773598,-0.00023615130979182455
0.8400000000000001,0.1,0.008322752489035655,0.001048546193251067,0.0031056646104780827,-0.0004592535296985825
0.86,0.1,0.008311349250646673,0.0010601113006302324,0.0032289142055379073,-0.0006807322013842475
0.88,0.1,0.008295539335679095,0.0010685008259250334,0.00336121520689079,-0.0008997920666136704
0.9,0.1,0.008275378725481744,0.0010729207688498577,0.0035034737740938056,-0.0011156797761864823
0.92,0.1,0.008250938031264261,0.0010724110886086659,0.0036567103767467567,-0.0013276860200337564
0.9400000000000001,0.1,0.008222301594791964,0.001065809848216567,0.003822077192637576,-0.001535147325706323
0.96,0.1,0.008189566556287364,0.0010517090221041172,0.004000878609962993,-0.0017374475415264574
0.98,0.1,0.008152841895720497,0.0010283998599901845,0.0041945954694284655,-0.0019340190162095503
1.0,0.1,0.008112247453471865,0.0009938051209786552,0.004404913829185656,-0.0021243434830508522
1.02,0.1,0.008067912936220141,0.0009453947402704076,0.004633759220719581,-0.0023079526539666077
1.04,0.1,0.008019976913820682,0.0008800805112645162,0.004883337597787204,-0.0024844285268534536
1.06,0.1,0.007968585812881516,0.0007940840834201674,0.005156184477548985,-0.002653403408893113
1.08,0.1,0.007913892912691655,0.0006827708900101833,0.005455224151867678,-0.002814559658531473
1.1,0.1,0.007856057349093596,0.0005404403925265608,0.0057838413322037156,-0.0029676291498074514
1.12,0.1,0.007795243131803062,0.0003600600725798305,0.00614596821667707,-0.0031123924643690513
1.1400000000000001,0.1,0.007731618180550428,0.00013292666057680848,0.0065461907769422175,-0.0032486778187397454
1.16,0.1,0.0076653533852419735,-0.00015176719112410084,0.006989879115068044,-0.003376359737023593
1.18,0.1,0.007596621695106255,-0.0005074896954209856,0.007483348117139987,-0.0034953574820935866
1.2,0.1,0.007525597241501203,-0.0009510887097967975,0.008034056440272212,-0.003605633261231929
0.8,0.2,0.009507802022118763,0.0015487567272677908,0.0030668124227822505,-0.0001399598605022678
0.8200000000000001,0.2,0.009502520638846247,0.0016011653321198814,0.0031789296435650065,-0.0003883019041850768
0.8400000000000001,0.2,0.009492268358638827,0.0016550061079011308,0.0032987538961952606,-0.0006368830751427846
0.86,0.2,0.009477050280263803,0.0017101376943890166,0.003427009175265569,-0.0008847207560737811
0.88,0.2,0.009456890810087432,0.0017663631714808451,0.0035645052460950267,-0.0011308674866546756
0.9,0.2,0.009431832919296326,0.0018234158752289506,0.00371214991132597,-0.0013744148631454252
0.92,0.2,0.009401937326933256,0.001880941699808362,0.003870963335135248,-0.0016144970597458312
0.9400000000000001,0.2,0.009367281616184423,0.001938476977297251,0.004042094821573594,-0.0018502939837046401
0.96,0.2,0.009327959291162462,0.0019954207771978806,0.004226842529956975,-0.0020810340714425323
0.98,0.2,0.009284078781329629,0.0020510001439488583,0.004426676717674824,-0.0023059967285888544
1.0,0.2,0.009235762400684602,0.0021042263699617607,0.004643267234910739,-0.0025245144131750704
1.02,0.2,0.0091831452688814,0.0021538398527436555,0.0048785161639178995,-0.002735974358509364
1.04,0.2,0.009126374201535477,0.0021982403654810284,0.005134596707184111,-0.002939819930622145
1.06,0.2,0.009065606577082339,0.0022353986243993204,0.005413999696512749,-0.0031355516146856616
1.08,0.2,0.009001009187660211,0.0022627437864226165,0.00571958943508669,-0.0033227276254611613
1.1,0.2,0.008932757081572365,0.0022770198524139015,0.006054671018542724,-0.003500964138542055
1.12,0.2,0.008861032404924118,0.0022741017412074363,0.006423071837564718,-0.003669935141815861
1.1400000000000001,0.2,0.008786023250007909,0.0022487588405377497,0.006829240681613828,-0.00382937190999837
1.16,0.2,0.008707922517913084,0.002194349860243688,0.007278368792196614,-0.003979062109109478
1.18,0.2,0.008626926802656889,0.0021024274322010827,0.0077765384232433565,-0.004118848542156819
1.2,0.2,0.008543235303861406,0.001962223591953675,0.00833090604872585,-0.00424862755185979
0.8,0.5,0.013730683254089791,0.0033407514615215418,0.0038879866501822747,-8.035179677007417e-05
0.8200000000000001,0.5,0.013725954307319719,0.003512471053555367,0.004025881249855773,-0.0003940991478018907
0.8400000000000001,0.5,0.013714861866685201,0.0036964771357129527,0.0041729294892331155,-0.0007164581801832478
0.86,0.5,0.01369724842131722,0.0038938726380208393,0.00432996009560973,-0.0010459498805057664
0.88,0.5,0.013672986405510072,0.004105876969431819,0.004497896166372734,-0.0013810607211483875
0.9,0.5,0.013641978769883276,0.004333839710125489,0.004677768106411318,-0.0017202545987786877
0.92,0.5,0.013604159312592887,0.004579255975674263,0.004870728640398147,-0.002061984871067849
0.9400000000000001,0.5,0.013559492769828128,0.0048437836355234715,0.005078070281345205,-0.002404706371141815
0.96,0.5,0.01350797466725731,0.005129262574361561,0.005301245715963474,-0.0027468872778996997
0.98,0.5,0.013449630936526251,0.005437736183828926,0.005541891664782812,-0.0030870207201106684
1.0,0.5,0.013384517303346319,0.005771475259223294,0.005801856895389336,-0.0034236359933888147
1.02,0.5,0.013312718456101665,0.006133004444952655,0.006083235216489393,-0.003755309271962271
1.04,0.5,0.013234347006223435,0.006525131314069154,0.006388404466490946,-0.004080673701778055
1.06,0.5,0.013149542253785677,0.0069509780676583,0.006720072742810191,-0.004398428768047192
1.08,0.5,0.013058468773833846,0.007414015679422365,0.007081333409996365,-0.004707348838891149
1.1,0.5,0.012961314840820765,0.007918100060940387,0.007475730792718275,-0.005006290797281643
1.12,0.5,0.012858290710160555,0.008467509442526276,0.007907338925494833,-0.005294200685864147
1.1400000000000001,0.5,0.012749626777280788,0.009066981593595744,0.008380856323427848,-0.005570119303335545
1.16,0.5,0.012635571635627183,0.009721748658422211,0.008901720494893219,-0.005833186706539657
1.18,0.5,0.012516390055827274,0.01043756613244707,0.009476246888225228,-0.0060826455890179145
1.2,0.5,0.012392360908632957,0.01122073066810484,0.01011179821652188,-0.006317843524015952
